Symbol,Unit,Amount
1SAE231111R0640,pcs.,755
1SAE341111R0622,pcs.,5
1SAE901901R1011,pcs.,5
1SFA611920R8130,pcs.,4
1SVR500020R0000,pcs.,10
2CDS273001R0634,pcs.,1
1492-CABLE005TBNH,pcs.,2
1492-SPM2B010,pcs.,1
110284,pcs.,2
189902,pcs.,1
189910,pcs.,1
216714,pcs.,10
216722,pcs.,9
278446,pcs.,4
EPN540,pcs.,4
078866L,pcs.,150
0402174,pcs.,60
1274117,pcs.,9
3022218,pcs.,16100
3026272,pcs.,4400
3036042,pcs.,1350
3038930,pcs.,880
3044814,pcs.,750
A9N21553,pcs.,361
A9N61524,pcs.,24
A9R01463,pcs.,1
A9R35480,pcs.,1
A9R61225,pcs.,42
A9R61240,pcs.,4104
A9R61425,pcs.,3
ABL6TS63G,pcs.,4
ATV12HU15M2,pcs.,2
ATV320U11N4C,pcs.,3
ATV320U55N4B,pcs.,1
ATV630D11N4,pcs.,1
C1036E100,pcs.,2
C163TM160,pcs.,53
C1642D160,pcs.,10
C164TM160,pcs.,67
C16N4,pcs.,35
C2532D250,pcs.,8
C254TM250,pcs.,6
C25F3,pcs.,29
C25F4,pcs.,16
C25H3MA220,pcs.,15
C4042D250,pcs.,1
C6335E630,pcs.,10
C634630S,pcs.,1
C63N3,pcs.,19
C63N4,pcs.,9
EPH5800621,pcs.,60
EPH6100161,pcs.,6
GV2ME03,pcs.,56
GV2ME04,pcs.,76
GV2ME05,pcs.,22
GV2ME06,pcs.,209
GV2ME07,pcs.,2
GV2ME08,pcs.,259
GV2ME10,pcs.,264
GV2ME14,pcs.,159
GV2ME20,pcs.,40
GV2ME22,pcs.,12
GV2ME32,pcs.,37
LADN02,pcs.,2
LC1D12BD,pcs.,35
LC1D25P7,pcs.,80
LUCD18BL,pcs.,2
LV429008,pcs.,3
LV429489,pcs.,47
LVS08324,pcs.,3
NSYTEX6,pcs.,140
NSYTJ8025,pcs.,1
XB4BA21,pcs.,60
XB5AW31M5,pcs.,3
XC1ZP2005,pcs.,4
3LD9240-0C,pcs.,1
3RM1207-1AA04,pcs.,1
3RT2025-1AF00,pcs.,2
5SV3646-4,pcs.,3
8US1923-3AA01,pcs.,20
1020100000,pcs.,20
